envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
137	1557000	1869000	1269000	1749000	1149000	1749000	
138	1578000	1866000	1266000	1746000	1146000	1866000	
139	1623000	1983000	1263000	1743000	1263000	1863000	
140	1644000	1980000	1260000	1740000	1260000	1980000	
141	1641000	1977000	1257000	1737000	1257000	1977000	
142	1686000	1974000	1374000	1854000	1254000	1974000	
143	1683000	1971000	1371000	1851000	1251000	1971000	
144	1728000	1968000	1368000	1968000	1368000	1968000	
145	1773000	1965000	1485000	1965000	1365000	2085000	
146	1770000	1962000	1482000	1962000	1362000	2082000	
147	1791000	1959000	1479000	1959000	1479000	2079000	
148	1788000	1956000	1476000	1956000	1476000	2076000	
149	1857000	2073000	1593000	2073000	1473000	2073000	
150	1878000	2070000	1710000	2070000	1470000	2070000	
151	1947000	2187000	1827000	2067000	1587000	2067000	
152	1968000	2184000	1824000	2064000	1704000	2064000	
153	1989000	2181000	1821000	2061000	1821000	2061000	
154	2010000	2178000	1818000	2058000	1818000	2178000	
155	2007000	2175000	1815000	2055000	1815000	2175000	
156	2028000	2172000	1812000	2052000	1812000	2292000	
157	2025000	2169000	1809000	2049000	1809000	2289000	
158	2046000	2166000	1926000	2046000	1806000	2286000	
159	2043000	2163000	1923000	2043000	1803000	2283000	
160	2112000	2160000	2040000	2160000	1920000	2280000	
161	2109000	2157000	2037000	2157000	1917000	2277000	
162	2154000	2154000	2034000	2274000	2034000	2274000	
163	2151000	2151000	2031000	2271000	2031000	2271000	
164	2148000	2148000	2028000	2268000	2028000	2268000	
165	2193000	2265000	2145000	2265000	2025000	2265000	
166	2190000	2262000	2142000	2262000	2022000	2262000	
167	2211000	2259000	2139000	2259000	2139000	2259000	
168	2208000	2256000	2136000	2256000	2136000	2256000	
169	2205000	2253000	2133000	2253000	2133000	2253000	
170	2202000	2250000	2130000	2250000	2130000	2250000	
171	2223000	2247000	2127000	2247000	2127000	2367000	
172	2220000	2244000	2124000	2244000	2124000	2364000	
173	2217000	2241000	2121000	2241000	2121000	2361000	
174	2214000	2238000	2118000	2238000	2118000	2358000	
175	2211000	2235000	2115000	2235000	2115000	2355000	
176	2232000	2232000	2232000	2232000	2112000	2352000	
177	2229000	2229000	2229000	2229000	2109000	2349000	
178	2274000	2346000	2346000	2226000	2106000	2346000	
179	2343000	2463000	2343000	2343000	2223000	2343000	
180	2340000	2460000	2340000	2340000	2220000	2340000	
181	2337000	2457000	2337000	2337000	2217000	2337000	
182	2358000	2454000	2334000	2334000	2334000	2334000	
183	2355000	2451000	2331000	2331000	2331000	2331000	
184	2376000	2448000	2328000	2328000	2328000	2448000	
185	2421000	2565000	2325000	2325000	2325000	2565000	
186	2418000	2562000	2322000	2322000	2322000	2562000	
187	2415000	2559000	2319000	2319000	2319000	2559000	
188	2412000	2556000	2316000	2316000	2316000	2556000	
189	2433000	2553000	2433000	2313000	2313000	2553000	
190	2430000	2550000	2430000	2310000	2310000	2550000	
191	2427000	2547000	2427000	2307000	2307000	2547000	
192	2472000	2544000	2424000	2424000	2304000	2664000	
193	2493000	2541000	2421000	2541000	2301000	2661000	
194	2514000	2538000	2538000	2538000	2298000	2658000	
195	2535000	2535000	2535000	2535000	2415000	2655000	
196	2532000	2532000	2532000	2532000	2412000	2652000	
197	2553000	2649000	2529000	2529000	2409000	2649000	
198	2550000	2646000	2526000	2526000	2406000	2646000	
199	2547000	2643000	2523000	2523000	2403000	2643000	
200	2568000	2640000	2520000	2640000	2400000	2640000	
201	2565000	2637000	2517000	2637000	2397000	2637000	
202	2586000	2634000	2514000	2634000	2514000	2634000	
203	2583000	2631000	2511000	2631000	2511000	2631000	
204	2580000	2628000	2508000	2628000	2508000	2628000	
205	2601000	2625000	2505000	2625000	2505000	2745000	
206	2598000	2622000	2502000	2622000	2502000	2742000	
207	2619000	2619000	2619000	2619000	2499000	2739000	
208	2664000	2736000	2736000	2616000	2496000	2736000	
209	2661000	2733000	2733000	2613000	2493000	2733000	
210	2658000	2730000	2730000	2610000	2490000	2730000	
211	2679000	2847000	2727000	2607000	2487000	2727000	
212	2700000	2844000	2724000	2724000	2484000	2724000	
213	2697000	2841000	2721000	2721000	2481000	2721000	
214	2718000	2958000	2718000	2718000	2478000	2718000	
215	2787000	2955000	2835000	2715000	2595000	2835000	
216	2808000	2952000	2832000	2712000	2712000	2832000	
217	2805000	2949000	2829000	2709000	2709000	2829000	
