fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	feature_fraction	seed	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240510 072241	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1230	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	979	1859	8634	31099079.4602699	25
20240510 073203	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	985	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	970	1909	8247	30822178.4107946	26
20240510 074052	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	880	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	993	1792	8150	30887031.4842579	27
20240510 075013	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	973	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	976	1775	8570	30551829.0854573	28
20240510 075949	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1018	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1091	1693	8458	30983061.4692654	29
20240510 080944	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1071	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1132	1687	9592	30919712.143928	30
20240510 081912	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	982	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1114	1681	8832	30883250.3748126	31
20240510 082848	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1000	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	682	1675	9168	31109073.4632684	32
20240510 083847	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1061	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	431	1669	8422	30724524.7376312	33
20240510 085013	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1347	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1342	1701	9481	30735410.7946027	34
20240510 085954	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1020	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	788	1659	8540	30627316.3418291	35
20240510 091010	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1148	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1265	1831	8387	30759839.5802099	36
20240510 092618	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2220	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1054	1566	9118	31033046.4767616	37
20240510 093725	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1215	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1071	1532	9368	31029913.0434783	38
20240510 094730	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1058	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1082	1509	8358	31308968.5157421	39
20240510 095910	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1145	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1111	1481	8349	31113000	40
20240510 100802	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	821	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1120	1467	8587	31011473.7631184	41
20240510 102037	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1532	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1124	1460	9829	31147842.5787106	42
20240510 103011	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	970	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1051	1458	8862	30801406.2968516	43
20240510 103958	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	970	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1158	1458	8862	30801406.2968516	44
20240510 104924	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	927	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1134	1468	8330	31128260.8695652	45
20240510 110536	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1950	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1148	1459	9529	31095818.5907046	46
20240510 111603	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1106	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1065	1465	8398	30777094.4527736	47
20240510 112839	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1532	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1185	1460	9829	31147842.5787106	48
20240510 114007	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1305	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1105	1466	9502	30669652.173913	49
20240510 115032	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1106	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1241	1465	8398	30777094.4527736	50
20240510 115940	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	879	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1164	1473	8929	30819656.6716642	51
20240510 121041	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1223	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1141	1477	9365	31085089.9550225	52
20240510 122157	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1275	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1151	1471	7208	30746434.7826087	53
20240510 123129	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	964	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1029	1483	8871	31197734.6326837	54
20240510 124048	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	936	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1069	1472	8753	31367986.5067466	55
20240510 125643	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1950	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1037	1459	9529	31095818.5907046	56
20240510 130715	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1162	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	958	1469	8669	31411290.8545727	57
20240510 132023	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1375	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	869	1461	8534	30946665.6671664	58
