envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
137	1197000	909000	1269000	1149000	1269000	1389000	
138	1194000	906000	1266000	1146000	1266000	1386000	
139	1191000	903000	1263000	1143000	1263000	1383000	
140	1236000	9e+05	1380000	1140000	1380000	1380000	
141	1233000	897000	1377000	1137000	1377000	1377000	
142	1230000	894000	1374000	1134000	1374000	1374000	
143	1251000	891000	1371000	1131000	1371000	1491000	
144	1248000	888000	1368000	1128000	1368000	1488000	
145	1245000	885000	1365000	1125000	1365000	1485000	
146	1266000	882000	1362000	1242000	1362000	1482000	
147	1263000	879000	1359000	1239000	1359000	1479000	
148	1284000	996000	1356000	1236000	1356000	1476000	
149	1305000	993000	1353000	1233000	1473000	1473000	
150	1326000	990000	1350000	1350000	1470000	1470000	
151	1347000	987000	1347000	1467000	1467000	1467000	
152	1344000	984000	1344000	1464000	1464000	1464000	
153	1365000	981000	1341000	1461000	1461000	1581000	
154	1362000	978000	1338000	1458000	1458000	1578000	
155	1359000	975000	1335000	1455000	1455000	1575000	
156	1356000	972000	1332000	1452000	1452000	1572000	
157	1353000	969000	1329000	1449000	1449000	1569000	
158	1374000	966000	1446000	1446000	1446000	1566000	
159	1371000	963000	1443000	1443000	1443000	1563000	
160	1416000	960000	1440000	1560000	1560000	1560000	
161	1413000	957000	1437000	1557000	1557000	1557000	
162	1434000	1074000	1434000	1554000	1554000	1554000	
163	1455000	1191000	1431000	1551000	1551000	1551000	
164	1476000	1308000	1428000	1548000	1548000	1548000	
165	1545000	1305000	1545000	1665000	1665000	1545000	
166	1590000	1422000	1542000	1662000	1782000	1542000	
167	1635000	1539000	1539000	1659000	1779000	1659000	
168	1656000	1536000	1536000	1776000	1776000	1656000	
169	1653000	1533000	1533000	1773000	1773000	1653000	
170	1674000	1530000	1530000	1890000	1770000	1650000	
171	1695000	1527000	1527000	1887000	1887000	1647000	
172	1692000	1524000	1524000	1884000	1884000	1644000	
173	1689000	1521000	1521000	1881000	1881000	1641000	
174	1710000	1638000	1518000	1878000	1878000	1638000	
175	1707000	1635000	1515000	1875000	1875000	1635000	
176	1728000	1632000	1512000	1872000	1872000	1752000	
177	1749000	1629000	1509000	1869000	1869000	1869000	
178	1746000	1626000	1506000	1866000	1866000	1866000	
179	1767000	1623000	1503000	1863000	1983000	1863000	
180	1764000	1620000	1500000	1860000	1980000	1860000	
181	1761000	1617000	1497000	1857000	1977000	1857000	
182	1758000	1614000	1494000	1854000	1974000	1854000	
183	1779000	1611000	1611000	1851000	1971000	1851000	
184	1800000	1608000	1608000	1848000	2088000	1848000	
185	1797000	1605000	1605000	1845000	2085000	1845000	
186	1842000	1722000	1602000	1842000	2202000	1842000	
187	1839000	1719000	1599000	1839000	2199000	1839000	
188	1860000	1716000	1716000	1836000	2196000	1836000	
189	1857000	1713000	1713000	1833000	2193000	1833000	
190	1854000	1710000	1710000	1830000	2190000	1830000	
191	1875000	1707000	1707000	1827000	2307000	1827000	
192	1896000	1704000	1824000	1824000	2304000	1824000	
193	1893000	1701000	1821000	1821000	2301000	1821000	
194	1890000	1698000	1818000	1818000	2298000	1818000	
195	1887000	1695000	1815000	1815000	2295000	1815000	
196	1908000	1692000	1812000	1932000	2292000	1812000	
197	1905000	1689000	1809000	1929000	2289000	1809000	
198	1926000	1806000	1806000	1926000	2286000	1806000	
199	1923000	1803000	1803000	1923000	2283000	1803000	
200	1944000	1800000	1920000	1920000	2280000	1800000	
201	1941000	1797000	1917000	1917000	2277000	1797000	
202	1938000	1794000	1914000	1914000	2274000	1794000	
203	1935000	1791000	1911000	1911000	2271000	1791000	
204	1932000	1788000	1908000	1908000	2268000	1788000	
205	1953000	1785000	1905000	1905000	2265000	1905000	
206	1950000	1782000	1902000	1902000	2262000	1902000	
207	1971000	1779000	2019000	1899000	2259000	1899000	
208	1968000	1776000	2016000	1896000	2256000	1896000	
209	1989000	1773000	2133000	1893000	2253000	1893000	
210	1986000	1770000	2130000	1890000	2250000	1890000	
211	2007000	1767000	2247000	1887000	2247000	1887000	
212	2028000	1764000	2244000	1884000	2364000	1884000	
213	2025000	1761000	2241000	1881000	2361000	1881000	
214	2046000	1878000	2238000	1878000	2358000	1878000	
215	2091000	1995000	2235000	1875000	2355000	1995000	
216	2088000	1992000	2232000	1872000	2352000	1992000	
217	2085000	1989000	2229000	1869000	2349000	1989000	
218	2106000	2106000	2226000	1866000	2346000	1986000	
219	2103000	2103000	2223000	1863000	2343000	1983000	
220	2100000	2100000	2220000	1860000	2340000	1980000	
221	2121000	2097000	2337000	1857000	2337000	1977000	
222	2166000	2094000	2334000	1974000	2334000	2094000	
223	2187000	2091000	2451000	1971000	2331000	2091000	
224	2208000	2088000	2448000	2088000	2328000	2088000	
225	2253000	2205000	2445000	2205000	2325000	2085000	
226	2250000	2202000	2442000	2202000	2322000	2082000	
227	2271000	2199000	2439000	2199000	2319000	2199000	
228	2268000	2196000	2436000	2196000	2316000	2196000	
229	2289000	2313000	2433000	2193000	2313000	2193000	
230	2286000	2310000	2430000	2190000	2310000	2190000	
231	2283000	2307000	2427000	2187000	2307000	2187000	
232	2280000	2304000	2424000	2184000	2304000	2184000	
233	2277000	2301000	2421000	2181000	2301000	2181000	
234	2274000	2298000	2418000	2178000	2298000	2178000	
235	2271000	2295000	2415000	2175000	2295000	2175000	
236	2316000	2292000	2412000	2292000	2412000	2172000	
237	2313000	2289000	2409000	2289000	2409000	2169000	
238	2334000	2286000	2406000	2406000	2406000	2166000	
239	2355000	2283000	2403000	2403000	2403000	2283000	
240	2376000	2280000	2520000	2400000	2400000	2280000	
241	2397000	2277000	2637000	2397000	2397000	2277000	
242	2394000	2274000	2634000	2394000	2394000	2274000	
243	2391000	2271000	2631000	2391000	2391000	2271000	
