envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
139	1119000	1143000	1023000	1263000	1023000	1143000	
140	1140000	1140000	1020000	1260000	1020000	1260000	
141	1137000	1137000	1017000	1257000	1017000	1257000	
142	1158000	1134000	1134000	1254000	1014000	1254000	
143	1155000	1131000	1131000	1251000	1011000	1251000	
144	1152000	1128000	1128000	1248000	1008000	1248000	
145	1149000	1125000	1125000	1245000	1005000	1245000	
146	1146000	1122000	1122000	1242000	1002000	1242000	
147	1143000	1119000	1119000	1239000	999000	1239000	
148	1164000	1116000	1116000	1356000	996000	1236000	
149	1161000	1113000	1113000	1353000	993000	1233000	
150	1158000	1110000	1110000	1350000	990000	1230000	
151	1155000	1107000	1107000	1347000	987000	1227000	
152	1152000	1104000	1104000	1344000	984000	1224000	
153	1149000	1101000	1101000	1341000	981000	1221000	
154	1170000	1098000	1098000	1338000	1098000	1218000	
155	1167000	1095000	1095000	1335000	1095000	1215000	
156	1164000	1092000	1092000	1332000	1092000	1212000	
157	1161000	1089000	1089000	1329000	1089000	1209000	
158	1158000	1086000	1086000	1326000	1086000	1206000	
159	1179000	1083000	1203000	1323000	1083000	1203000	
160	1200000	1080000	1200000	1440000	1080000	1200000	
161	1197000	1077000	1197000	1437000	1077000	1197000	
162	1218000	1194000	1194000	1434000	1074000	1194000	
163	1215000	1191000	1191000	1431000	1071000	1191000	
164	1212000	1188000	1188000	1428000	1068000	1188000	
165	1209000	1185000	1185000	1425000	1065000	1185000	
166	1230000	1182000	1302000	1422000	1062000	1182000	
167	1227000	1179000	1299000	1419000	1059000	1179000	
168	1248000	1176000	1416000	1416000	1056000	1176000	
169	1293000	1293000	1413000	1413000	1173000	1173000	
170	1362000	1410000	1530000	1410000	1290000	1170000	
171	1383000	1407000	1527000	1407000	1407000	1167000	
172	1380000	1404000	1524000	1404000	1404000	1164000	
173	1377000	1401000	1521000	1401000	1401000	1161000	
174	1398000	1398000	1518000	1398000	1518000	1158000	
175	1419000	1395000	1515000	1395000	1515000	1275000	
176	1416000	1392000	1512000	1392000	1512000	1272000	
177	1413000	1389000	1509000	1389000	1509000	1269000	
178	1410000	1386000	1506000	1386000	1506000	1266000	
179	1431000	1503000	1503000	1383000	1503000	1263000	
180	1452000	1500000	1500000	1380000	1620000	1260000	
181	1449000	1497000	1497000	1377000	1617000	1257000	
182	1470000	1494000	1494000	1374000	1614000	1374000	
183	1515000	1491000	1611000	1491000	1611000	1371000	
184	1512000	1488000	1608000	1488000	1608000	1368000	
185	1533000	1485000	1605000	1605000	1605000	1365000	
186	1578000	1482000	1602000	1722000	1602000	1482000	
187	1575000	1479000	1599000	1719000	1599000	1479000	
188	1596000	1476000	1716000	1716000	1596000	1476000	
189	1593000	1473000	1713000	1713000	1593000	1473000	
190	1614000	1590000	1710000	1710000	1590000	1470000	
191	1635000	1587000	1707000	1707000	1587000	1587000	
192	1632000	1584000	1704000	1704000	1584000	1584000	
193	1653000	1701000	1701000	1701000	1581000	1581000	
194	1674000	1698000	1698000	1698000	1698000	1578000	
195	1743000	1695000	1815000	1815000	1695000	1695000	
196	1740000	1692000	1812000	1812000	1692000	1692000	
197	1761000	1689000	1929000	1809000	1689000	1689000	
198	1782000	1686000	1926000	1806000	1806000	1686000	
199	1779000	1683000	1923000	1803000	1803000	1683000	
200	1800000	1680000	1920000	1920000	1800000	1680000	
201	1797000	1677000	1917000	1917000	1797000	1677000	
202	1794000	1674000	1914000	1914000	1794000	1674000	
203	1839000	1671000	2031000	1911000	1911000	1671000	
204	1860000	1788000	2028000	1908000	1908000	1668000	
205	1857000	1785000	2025000	1905000	1905000	1665000	
206	1902000	1782000	2022000	1902000	2022000	1782000	
207	1899000	1779000	2019000	1899000	2019000	1779000	
208	1920000	1776000	2016000	1896000	2016000	1896000	
209	1917000	1773000	2013000	1893000	2013000	1893000	
210	1962000	1770000	2130000	2010000	2010000	1890000	
211	1959000	1767000	2127000	2007000	2007000	1887000	
212	2004000	1764000	2124000	2124000	2124000	1884000	
213	2025000	1761000	2121000	2121000	2241000	1881000	
214	2046000	1758000	2118000	2118000	2238000	1998000	
215	2067000	1755000	2115000	2235000	2235000	1995000	
216	2064000	1752000	2112000	2232000	2232000	1992000	
217	2061000	1749000	2109000	2229000	2229000	1989000	
218	2082000	1746000	2106000	2346000	2226000	1986000	
219	2079000	1743000	2103000	2343000	2223000	1983000	
220	2076000	1740000	2100000	2340000	2220000	1980000	
221	2097000	1857000	2097000	2337000	2217000	1977000	
222	2118000	1854000	2094000	2334000	2334000	1974000	
223	2139000	1851000	2091000	2331000	2331000	2091000	
224	2184000	1848000	2208000	2448000	2328000	2088000	
225	2229000	1845000	2325000	2565000	2325000	2085000	
226	2250000	1962000	2322000	2562000	2322000	2082000	
227	2247000	1959000	2319000	2559000	2319000	2079000	
228	2244000	1956000	2316000	2556000	2316000	2076000	
229	2265000	1953000	2313000	2553000	2313000	2193000	
230	2262000	1950000	2310000	2550000	2310000	2190000	
231	2283000	1947000	2427000	2547000	2307000	2187000	
232	2328000	2064000	2424000	2544000	2304000	2304000	
233	2325000	2061000	2421000	2541000	2301000	2301000	
234	2322000	2058000	2418000	2538000	2298000	2298000	
235	2319000	2055000	2415000	2535000	2295000	2295000	
236	2316000	2052000	2412000	2532000	2292000	2292000	
237	2313000	2049000	2409000	2529000	2289000	2289000	
238	2358000	2166000	2406000	2646000	2286000	2286000	
239	2403000	2163000	2403000	2763000	2283000	2403000	
240	2424000	2280000	2400000	2760000	2280000	2400000	
241	2445000	2397000	2397000	2757000	2277000	2397000	
242	2466000	2394000	2394000	2754000	2394000	2394000	
243	2463000	2391000	2391000	2751000	2391000	2391000	
244	2460000	2388000	2388000	2748000	2388000	2388000	
245	2457000	2385000	2385000	2745000	2385000	2385000	
246	2478000	2382000	2382000	2742000	2382000	2502000	
247	2475000	2379000	2379000	2739000	2379000	2499000	
248	2472000	2376000	2376000	2736000	2376000	2496000	
249	2469000	2373000	2373000	2733000	2373000	2493000	
250	2514000	2490000	2370000	2730000	2490000	2490000	
251	2535000	2487000	2367000	2727000	2487000	2607000	
252	2532000	2484000	2364000	2724000	2484000	2604000	
253	2553000	2481000	2361000	2841000	2481000	2601000	
254	2574000	2478000	2358000	2838000	2478000	2718000	
255	2595000	2595000	2355000	2835000	2475000	2715000	
256	2592000	2592000	2352000	2832000	2472000	2712000	
257	2589000	2589000	2349000	2829000	2469000	2709000	
258	2586000	2586000	2346000	2826000	2466000	2706000	
259	2583000	2583000	2343000	2823000	2463000	2703000	
260	2580000	2580000	2340000	2820000	2460000	2700000	
261	2601000	2697000	2337000	2817000	2457000	2697000	
262	2598000	2694000	2334000	2814000	2454000	2694000	
263	2619000	2811000	2331000	2811000	2451000	2691000	
264	2616000	2808000	2328000	2808000	2448000	2688000	
265	2613000	2805000	2325000	2805000	2445000	2685000	
266	2610000	2802000	2322000	2802000	2442000	2682000	
267	2607000	2799000	2319000	2799000	2439000	2679000	
268	2604000	2796000	2316000	2796000	2436000	2676000	
269	2601000	2793000	2313000	2793000	2433000	2673000	
270	2598000	2790000	2310000	2790000	2430000	2670000	
271	2595000	2787000	2307000	2787000	2427000	2667000	
272	2616000	2784000	2424000	2784000	2424000	2664000	
273	2613000	2781000	2421000	2781000	2421000	2661000	
274	2610000	2778000	2418000	2778000	2418000	2658000	
275	2631000	2775000	2535000	2775000	2415000	2655000	
276	2628000	2772000	2532000	2772000	2412000	2652000	
277	2625000	2769000	2529000	2769000	2409000	2649000	
278	2622000	2766000	2526000	2766000	2406000	2646000	
279	2619000	2763000	2523000	2763000	2403000	2643000	
280	2616000	2760000	2520000	2760000	2400000	2640000	
281	2637000	2757000	2517000	2757000	2397000	2757000	
282	2634000	2754000	2514000	2754000	2394000	2754000	
283	2631000	2751000	2511000	2751000	2391000	2751000	
284	2628000	2748000	2508000	2748000	2388000	2748000	
285	2649000	2745000	2505000	2745000	2385000	2865000	
286	2646000	2742000	2502000	2742000	2382000	2862000	
287	2643000	2739000	2499000	2739000	2379000	2859000	
288	2640000	2736000	2496000	2736000	2376000	2856000	
289	2637000	2733000	2493000	2733000	2373000	2853000	
290	2634000	2730000	2490000	2730000	2370000	2850000	
291	2655000	2727000	2487000	2727000	2367000	2967000	
292	2652000	2724000	2484000	2724000	2364000	2964000	
293	2673000	2721000	2601000	2721000	2361000	2961000	
294	2718000	2718000	2718000	2838000	2358000	2958000	
295	2715000	2715000	2715000	2835000	2355000	2955000	
296	2736000	2712000	2712000	2952000	2352000	2952000	
297	2757000	2829000	2709000	2949000	2349000	2949000	
298	2778000	2826000	2706000	2946000	2466000	2946000	
299	2775000	2823000	2703000	2943000	2463000	2943000	
300	2796000	2820000	2700000	2940000	2580000	2940000	
301	2793000	2817000	2697000	2937000	2577000	2937000	
302	2790000	2814000	2694000	2934000	2574000	2934000	
303	2811000	2811000	2691000	2931000	2691000	2931000	
304	2808000	2808000	2688000	2928000	2688000	2928000	
305	2805000	2805000	2685000	2925000	2685000	2925000	
306	2826000	2802000	2802000	2922000	2682000	2922000	
307	2847000	2799000	2799000	2919000	2799000	2919000	
308	2916000	2796000	2916000	3036000	2916000	2916000	
309	2961000	2913000	2913000	3033000	2913000	3033000	
310	2958000	2910000	2910000	3030000	2910000	3030000	
311	2955000	2907000	2907000	3027000	2907000	3027000	
312	2976000	2904000	3024000	3024000	2904000	3024000	
313	2973000	2901000	3021000	3021000	2901000	3021000	
314	2970000	2898000	3018000	3018000	2898000	3018000	
