fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	feature_fraction	seed	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240507 051943	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2908	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	100	100	8207	31518850.0749625	41
20240507 055120	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3000	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	102	100	7917	31436706.1469265	42
20240507 062253	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3000	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	102	100	7917	31436706.1469265	43
20240507 065426	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3000	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	102	100	7917	31436706.1469265	44
20240507 072608	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3000	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	102	100	7917	31436706.1469265	45
20240507 075735	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3000	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	102	100	7917	31436706.1469265	46
20240507 082902	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3000	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	102	100	7917	31436706.1469265	47
20240507 090024	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3000	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	102	100	7917	31436706.1469265	48
20240507 140114	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2316	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	2048	828	9950	30748380.8095952	49
20240507 143151	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2902	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	101	100	7847	31415881.5592204	50
20240507 150241	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2967	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	102	107	8223	31007401.7991005	51
20240507 153307	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2700	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	98	100	7820	31621499.2503748	52
20240507 160331	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2700	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	98	100	7820	31621499.2503748	53
20240507 191059	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2863	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1082	2000	8227	30428625.1874063	54
20240507 194135	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2062	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	97	100	8210	30899535.2323838	55
20240507 201225	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2908	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	100	100	8207	31518850.0749625	56
20240507 204311	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2908	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	100	100	8207	31518850.0749625	57
20240507 211349	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2976	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	99	100	8009	31369281.8590705	58
